iter	Passed	Remaining
470	687	772
471	688	770
472	689	768
473	690	766
474	691	764
475	692	762
476	693	760
477	694	758
478	695	756
479	696	754
480	697	752
481	698	750
482	699	748
483	700	746
484	701	744
485	702	742
486	703	740
487	704	738
488	705	736
489	706	734
490	706	732
491	707	730
492	708	728
493	709	727
494	711	725
495	712	723
496	713	722
497	715	720
498	716	719
499	717	717
500	718	715
501	719	713
502	720	711
503	721	709
504	722	708
505	723	706
506	724	704
507	725	702
508	726	700
509	727	698
510	728	696
511	729	694
512	730	693
513	731	691
514	732	689
515	732	687
516	734	685
517	735	684
518	736	682
519	737	680
520	738	678
521	739	676
522	740	675
523	741	673
524	742	671
525	743	670
526	744	668
527	745	666
528	746	664
529	747	662
530	748	660
531	749	659
532	750	657
533	751	655
534	752	653
535	753	652
536	754	650
537	755	648
538	756	646
539	757	645
540	758	643
541	759	641
542	760	639
543	761	638
544	762	636
545	762	634
546	763	632
547	764	630
548	765	629
549	766	627
550	767	625
551	768	623
552	769	622
553	770	620
554	771	618
555	772	617
556	773	615
557	774	613
558	775	611
559	776	610
560	777	608
561	778	606
562	779	605
563	780	603
564	781	601
565	782	599
566	783	598
567	784	596
568	785	594
569	786	593
570	787	591
571	788	589
572	789	588
573	790	586
574	791	584
575	792	583
576	793	581
577	794	579
578	795	578
579	795	576
580	796	574
581	797	572
582	799	571
583	800	570
584	801	568
585	802	566
586	803	565
587	804	563
588	805	561
589	806	560
590	807	558
591	808	556
592	808	555
593	809	553
594	810	551
595	811	550
596	812	548
597	814	547
598	815	545
599	816	544
600	817	542
601	818	540
602	819	539
603	820	537
604	821	536
605	822	534
606	822	532
607	823	531
608	824	529
609	825	527
610	826	526
611	827	524
612	828	523
613	829	521
614	831	520
615	832	518
616	832	517
617	833	515
618	834	513
619	835	512
620	836	510
621	837	509
622	838	507
623	839	505
624	840	504
625	841	503
626	842	501
627	843	499
628	844	498
629	845	496
630	846	495
631	847	493
632	848	492
633	849	490
634	850	488
635	851	487
636	852	485
637	853	484
638	854	482
639	855	481
640	856	479
641	857	478
642	858	476
643	859	475
644	860	473
645	861	471
646	862	470
647	863	468
648	863	467
649	864	465
650	866	464
651	867	463
652	869	462
653	871	461
654	873	460
655	875	459
656	877	458
657	879	457
658	882	456
659	884	455
660	886	454
661	888	453
662	891	452
663	894	452
664	896	451
665	898	450
666	900	449
667	902	448
668	904	447
669	907	446
670	909	445
671	910	444
672	912	443
673	914	442
674	916	441
675	918	440
676	920	438
677	924	439
678	926	437
679	928	436
680	930	435
681	932	434
682	933	433
683	934	431
684	936	430
685	937	429
686	938	427
687	941	426
688	942	425
689	944	424
690	945	422
691	946	421
692	948	420
693	949	418
694	952	417
695	953	416
696	955	415
697	957	414
698	958	412
699	959	411
700	961	410
701	963	408
702	964	407
703	966	406
704	968	405
705	969	403
706	970	402
707	972	400
708	973	399
709	974	398
710	976	396
711	977	395
712	978	394
713	980	392
714	981	391
715	984	390
716	985	389
717	987	387
718	988	386
719	990	385
720	991	383
721	993	382
722	995	381
723	997	380
724	999	379
725	1000	377
726	1001	376
727	1002	374
728	1003	373
729	1005	371
730	1006	370
731	1007	368
732	1008	367
733	1009	365
734	1011	364
735	1012	363
736	1014	361
737	1015	360
738	1016	358
739	1017	357
740	1018	356
741	1019	354
742	1020	353
743	1022	351
744	1023	350
745	1025	349
746	1026	347
747	1027	346
748	1029	344
749	1030	343
750	1031	341
751	1032	340
752	1033	339
753	1034	337
754	1035	336
755	1036	334
756	1037	333
757	1039	331
758	1040	330
759	1041	328
760	1042	327
761	1043	325
762	1044	324
763	1045	323
764	1046	321
765	1047	320
766	1048	318
767	1049	317
768	1051	315
769	1052	314
770	1053	312
771	1054	311
772	1055	309
773	1056	308
774	1057	307
775	1058	305
776	1059	304
777	1060	302
778	1061	301
779	1062	299
780	1063	298
781	1064	296
782	1065	295
783	1067	294
784	1068	292
785	1069	291
786	1070	289
787	1071	288
788	1073	287
789	1074	285
790	1076	284
791	1077	282
792	1078	281
793	1079	280
794	1082	279
795	1084	277
796	1089	277
797	1092	276
798	1094	275
799	1097	274
800	1098	273
801	1101	271
802	1102	270
803	1103	269
804	1105	267
805	1106	266
806	1107	264
807	1108	263
808	1110	262
809	1111	260
810	1112	259
811	1113	257
812	1115	256
813	1117	255
814	1118	253
815	1119	252
816	1121	251
817	1122	249
818	1123	248
819	1125	247
820	1126	245
821	1131	245
822	1134	243
823	1136	242
824	1138	241
825	1139	240
826	1140	238
827	1141	237
828	1142	235
829	1144	234
830	1146	233
831	1148	231
832	1149	230
833	1151	229
834	1152	227
835	1154	226
836	1156	225
837	1158	223
838	1159	222
839	1161	221
840	1163	220
841	1165	218
842	1167	217
843	1169	216
844	1170	214
845	1171	213
846	1173	211
847	1176	210
848	1178	209
849	1180	208
850	1181	206
851	1183	205
852	1184	204
853	1185	202
854	1187	201
855	1188	199
856	1190	198
857	1192	197
858	1194	196
859	1195	194
860	1196	193
861	1197	191
862	1199	190
863	1200	188
864	1202	187
865	1203	186
866	1206	185
867	1207	183
868	1209	182
869	1210	180
870	1212	179
871	1213	178
872	1214	176
873	1216	175
874	1217	173
875	1218	172
876	1219	171
877	1220	169
878	1222	168
879	1223	166
880	1224	165
881	1226	164
882	1227	162
883	1229	161
884	1230	159
885	1232	158
886	1234	157
887	1237	156
888	1238	154
889	1240	153
890	1242	151
891	1243	150
892	1245	149
893	1247	147
894	1248	146
895	1250	145
896	1251	143
897	1253	142
898	1254	140
899	1255	139
900	1256	138
